,Package,Version
abind,abind,1.4-5
base64enc,base64enc,0.1-3
BH,BH,1.75.0-0
brew,brew,1.0-6
brio,brio,1.1.2
clipr,clipr,0.7.1
colorspace,colorspace,2.0-2
commonmark,commonmark,1.7
contfrac,contfrac,1.1-12
cpp11,cpp11,0.4.0
crayon,crayon,1.4.1
curl,curl,4.3.2
deldir,deldir,0.2-10
deSolve,deSolve,1.3
dfoptim,dfoptim,2020.10-1
digest,digest,0.6.28
dotCall64,dotCall64,1.0-1
elliptic,elliptic,1.4-0
evaluate,evaluate,0.14
fansi,fansi,0.5.0
farver,farver,2.1.0
fastmap,fastmap,1.1.0
filehash,filehash,2.4-2
FNN,FNN,1.1.3
fs,fs,1.5.0
GeoModels,GeoModels,1.0.3-4
gitcreds,gitcreds,0.1.1
glue,glue,1.4.2
goftest,goftest,1.2-2
gtable,gtable,0.3.0
ini,ini,0.3.1
intervals,intervals,0.15.2
isoband,isoband,0.2.5
jsonlite,jsonlite,1.7.2
labeling,labeling,0.4.2
magrittr,magrittr,2.0.1
maps,maps,3.4.0
MatrixModels,MatrixModels,0.5-0
matrixStats,matrixStats,0.61.0
mime,mime,0.12
misc3d,misc3d,0.9-1
numDeriv,numDeriv,2016.8-1.1
optimParallel,optimParallel,1.0-2
pbivnorm,pbivnorm,0.6.0
PearsonDS,PearsonDS,1.2.1
pkgconfig,pkgconfig,2.0.3
plotrix,plotrix,3.8-2
png,png,0.1-7
polyclip,polyclip,1.10-0
pracma,pracma,2.3.3
praise,praise,1.0.0
prettyunits,prettyunits,1.1.1
ps,ps,1.6.0
R6,R6,2.5.1
RANN,RANN,2.6.1
rappdirs,rappdirs,0.3.3
RColorBrewer,RColorBrewer,1.1-2
Rcpp,Rcpp,1.0.7
RcppParallel,RcppParallel,5.1.4
remotes,remotes,2.4.1
rlang,rlang,0.4.11
rngWELL,rngWELL,0.10-6
rprojroot,rprojroot,2.0.2
rstudioapi,rstudioapi,0.13
scatterplot3d,scatterplot3d,0.3-41
shape,shape,1.4.6
sm,sm,2.2-5.7
snow,snow,0.4-3
sp,sp,1.4-5
spam64,spam64,2.7-0
SparseM,SparseM,1.81
spatstat.utils,spatstat.utils,2.2-0
stringi,stringi,1.7.5
sys,sys,3.4
tensor,tensor,1.5
tmvnsim,tmvnsim,1.0-2
ucminf,ucminf,1.1-4
utf8,utf8,1.2.2
VGAM,VGAM,1.1-5
viridisLite,viridisLite,0.4.0
whisker,whisker,0.4
withr,withr,2.4.2
xfun,xfun,0.26
xml2,xml2,1.3.2
yaml,yaml,2.2.1
zip,zip,2.2.0
zipfR,zipfR,0.6-70
zoo,zoo,1.8-9
mnormt,mnormt,2.0.2
munsell,munsell,0.5.0
plot3D,plot3D,1.4
randtoolbox,randtoolbox,1.30.1
spam,spam,2.7-0
gridExtra,gridExtra,2.3
highr,highr,0.9
mapproj,mapproj,1.2.7
mcGlobaloptim,mcGlobaloptim,0.1
tikzDevice,tikzDevice,0.12.3.1
askpass,askpass,1.1
hypergeo,hypergeo,1.2-13
openssl,openssl,1.4.5
conquer,conquer,1.0.2
quantreg,quantreg,5.86
fields,fields,12.5
rematch2,rematch2,2.1.2
sn,sn,2.0.0
xopen,xopen,1.0.0
viridis,viridis,0.6.2
xts,xts,0.12.1
profvis,profvis,0.3.7
vioplot,vioplot,0.3.7
RcppArmadillo,RcppArmadillo,0.10.7.0.0
spatstat.data,spatstat.data,2.1-0
cli,cli,3.0.1
diffobj,diffobj,0.3.5
lamW,lamW,2.1.0
rversions,rversions,2.1.1
spacetime,spacetime,1.2-5
sparseinv,sparseinv,0.1.3
latex2exp,latex2exp,0.5.0
gstat,gstat,2.0-8
htmlwidgets,htmlwidgets,1.5.4
sessioninfo,sessioninfo,1.1.1
spatstat.sparse,spatstat.sparse,2.0-0
processx,processx,3.5.2
callr,callr,3.7.0
knitr,knitr,1.36
spatstat.geom,spatstat.geom,2.2-2
GpGp,GpGp,0.4.0
stringr,stringr,1.4.0
gert,gert,1.4.1
ellipsis,ellipsis,0.3.2
spatstat,spatstat,2.2-0
GPvecchia,GPvecchia,0.1.3
memoise,memoise,2.0.0
spatstat.linnet,spatstat.linnet,2.3-0
cachem,cachem,1.0.6
credentials,credentials,1.3.1
gh,gh,1.3.0
spatstat.core,spatstat.core,2.3-0
desc,desc,1.4.0
purrr,purrr,0.3.4
scales,scales,1.1.1
lifecycle,lifecycle,1.0.1
htmltools,htmltools,0.5.2
httr,httr,1.4.2
vctrs,vctrs,0.3.8
tibble,tibble,3.1.5
waldo,waldo,0.3.1
ggplot2,ggplot2,3.3.5
pillar,pillar,1.6.3
pkgbuild,pkgbuild,1.2.0
roxygen2,roxygen2,7.1.2
pkgload,pkgload,1.2.2
rcmdcheck,rcmdcheck,1.4.0
devtools,devtools,2.4.2
usethis,usethis,2.0.1
testthat,testthat,3.1.0
tinytex,tinytex,0.33
mgcv,mgcv,1.8-36
